Reporting Area,MMWR Year,MMWR Week,"Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†, flag",Location 1,Location 2
US RESIDENTS,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
PENNSYLVANIA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEBRASKA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
TEXAS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OREGON,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MICHIGAN,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
IOWA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MISSISSIPPI,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
RHODE ISLAND,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
