Permit Number,Permit Category,Name,Address,Date Application Received,Sanitarian,Location 1,FoodID
877415,Pool - Remodel,LITTLE FALLS SWIM CLUB,"5001 LITTLE FALLS DR, BETHESDA, MD 20816",05/31/2019,Murrell,"5001 LITTLE FALLS DR
BETHESDA, MD 20816
(38.958467, -77.100779)",37084
860361,Food - Remodel,CLOVE & CEDAR COFFEEBAR,"4918 ST ELMO AVE, BETHESDA, MD 20814",12/19/2018,Davis,"4918 ST ELMO AVE
BETHESDA, MD 20814
(38.988416, -77.097855)",35699
,Food - Remodel,COSTCO GAITHERSBURG,"880 RUSSELL AVE. GAITHERSBURG, MD 20879",06/05/2019,Haynes,"880 RUSSELL AVE
GAITHERSBURG, MD 20879
(39.156873, -77.212434)",37099
,Food - New Construction,LEBANESE TAVERNA CAFE,"8535 FENTON ST, SILVER SPRING, MD 20910",06/05/2019,Royer,"8535 FENTON ST
SILVER SPRING, MD 20910
(38.99718, -77.025952)",37097
864229,Food - New Construction,PATEL BROTHERS,"18270 CONTOUR RD, GAITHERSBURG, MD 20877",06/10/2019,Murrell,"18270 CONTOUR RD
GAITHERSBURG, MD 20877
(39.155679, -77.198155)",37116
879182,Food - New Construction,JENI'S ICE CREAM,"4918 ELM STREET, BETHESDA, MD 20814",06/13/2019,Zenner,"4918 ELM STREET
BETHESDA, MD 20814
(38.982119, -77.096956)",37132
17206-2018,Food - New Construction,DAVE & BUSTER'S,"9811 WASHINGTONIAN BLVD,STE H1, GAITHERSBURG, MD 20878",08/07/2018,Zenner,"9811 WASHINGTONIAN BLVD
GAITHERSBURG, MD 20878
(39.11537, -77.198222)",33438
1495,Food - New Construction,XOC'S SMOOTHIES,"2514 UNIVERSITY BLVD, WHEATON, MD 20905",06/17/2019,Murrell,"2514 UNIVERSITY BLVD
WHEATON, MD 20905
(39.041271, -77.052371)",37133
,Food - New Construction,CULINART AT BIOMEDICAL SCIENCES AND ENGINEERING,"9631 GUDELSKY DR, ROCKVILLE, MD 20850",06/17/2019,Zenner,"9631 GUDELSKY DR
ROCKVILLE, MD 20850
(39.093407, -77.20157)",37137
,Pool - Equipment Replacement,STATONE CREEK,"12840 LOCBURY CIR, GERMANTOWN, MD 20874",06/20/2019,Murrell,"12840 LOCBURY CIR
GERMANTOWN, MD 20874
(39.186257, -77.264609)",37151
18365-2019,Food - New Construction,OMNIFUN,"831 RUSSELL AVE, GAITHERSBURG, MD 20879",06/25/2019,Zenner,"831 RUSSELL AVE
GAITHERSBURG, MD 20879
(39.156181, -77.211325)",37140
,Food - New Construction,MT. EVEREST BEER AND WINE,"11623 NEBEL ST, ROCKVILLE, MD 20852",06/25/2019,Murrell,"11623 NEBEL ST
ROCKVILLE, MD 20852
(39.047591, -77.105293)",37149
,Food - New Construction,POTBELLY SANDWICH SHOP,"4459 WILLARD AVE, CHEVY CHASE, MD 20815",06/26/2019,Zenner,"4459 WILLARD AVE
CHEVY CHASE, MD 20815
(38.961991, -77.088295)",37156
CIMP-19421-2019,Pool - Remodel,HILTON HOTEL-GAITHERSBURG,"620 PERRY PKWY, GAITHERSBURG, MD 20877",07/01/2019,Murrell,"620 PERRY PKWY
GAITHERSBURG, MD 20877
(39.148631, -77.21303)",37164
,Pool - Equipment Replacement,PHO SAIGON,"808 HUNGERFORD DR, ROCKVILLE, MD 20850",07/12/2019,,"808 HUNGERFORD DR
ROCKVILLE, MD 20850
(39.094801, -77.153222)",37188
NA,Food - New Construction,VITORIAS KITCHEN,"2302 PRICE AVE, SILVER SPRING, MD 20902",08/01/2019,Zenner,"2302 PRICE AVE
SILVER SPRING, MD 20902
(39.040324, -77.050324)",37215
,Pool - Equipment Replacement,FALLSMEAD,"1824 GREENPLACE TERR, ROCKVILLE, MD 20850",08/09/2019,Murrell,"1824 GREENPLACE TERR
ROCKVILLE, MD 20850
(39.076254, -77.178859)",37249
,Food - New Construction,NAANFE MARKET,"13535 CLOPPER RD, GERMANTOWN, MD 20874",08/09/2019,Zenner,"13535 CLOPPER RD
GERMANTOWN, MD 20874
(39.161851, -77.281012)",37252
885712,Food - New Construction,MOE'S SOUTHWEST GRILL,"11160 VEIRS MILL RD, SPACE FC1, WHEATON, MD 20902",08/14/2019,Zenner,"11160 VEIRS MILL RD
WHEATON, MD 20902
(39.038321, -77.052915)",37263
879003,Food - New Construction,"THE BETHESDA HOTEL, TAPESTRY COLLECTION BY HILTON","8120 WISCONSIN AVE, BETHESDA, MD 20814",08/14/2019,Davis,"8120 WISCONSIN AVE
BETHESDA, MD 20814
(38.991303, -77.095768)",37261
883791,Pool - Remodel,LONG BRANCH OUTDOOR SWIMMING POOL,"8700 PINEY BRANCH RD, SILVER SPRING, MD 20901",08/15/2019,Murrell,"8700 PINEY BRANCH RD
SILVER SPRING, MD 20901
(38.998965, -76.997846)",37275
775843,Pool - New Construction,WHEATON TOWN CENTER,"11219 GRANDVIEW AVE, SILVER SPRING, MD 20902",08/20/2019,Murrell,"11219 GRANDVIEW AVE
SILVER SPRING, MD 20902
(39.039388, -77.052457)",37278
,Food - New Construction,PRAVA CAFE,"15200 SHADY GROVE RD, STE 103, ROCKVILLE, MD 20850",08/20/2019,Murrell,"15200 SHADY GROVE RD
ROCKVILLE, MD 20850
(39.104564, -77.190606)",37279
,Food - New Construction,REGGAE VIBES,"7821 EASTERN AVE, SILVER SPRING, MD 20910",08/28/2019,Zenner,"7821 EASTERN AVE
SILVER SPRING, MD 20910
(38.985034, -77.027219)",37293
856542,Food - New Construction,ON THE VINE,"15250 SIESTA KEY WAY, ROCKVILLE, MD 20850",05/31/2019,Zenner,"15250 SIESTA KEY WAY
ROCKVILLE, MD 20850
(39.105851, -77.194318)",37087
888859,Food - New Construction,DUNKIN' DONUTS/ BASKIN-ROBBINS,"19706 FISHER AVE, POOLESVILLE, MD 20837",09/06/2019,Zenner,"19706 FISHER AVE
POOLESVILLE, MD 20837
(39.144744, -77.411915)",37305
NA,Food - Remodel,BETHESDA BAZAR,"8006 NORFOLK AVE, BETHESDA, MD 20814",09/09/2019,Davis,"8006 NORFOLK AVE
BETHESDA, MD 20814
(38.989884, -77.098878)",38311
