ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Installation,Fuel Type,Width (in.),Depth (in.),Shortening Capacity (lbs),Cooking Energy Efficiency (%),Energy Use (Idle Energy Rate) (Btu/hr),Energy Use (Idle Energy Rate) (Watts),Date Available on Market,Date Qualified,Markets,CB Model Identifier
2280413,Electrolux Professional,Electrolux,AFRG16,AFRG16,,Standard Vat,Floor,Gas,13,16,40,54,8930,,07/14/2015,07/13/2015,"United States, Canada",ES_1082677_AFRG16_07142015113615_8021814
2280470,"Frymaster,(A division of Welbilt)",Frymaster,LHD#65,LHD#65,",FPLHD#65,FPLHD265, FPLHD365, FPLHD465, FPLHD565, FPLHD665; ,LHD#65,LHD165",Large Vat,Floor,Gas,18,18,100,57,10306,43,10/15/2012,09/24/2012,"United States, Canada","ES_1016647_LHD, CFLHD, FPLHD, CFLHD, SCFLHD followed by: X, XXX,X,X,X,X,XX,XX_01102014134757_8969537"
2280471,"Frymaster,(A division of Welbilt)",Frymaster,FPGL#30,FPGL#30,",#FQG30U,2FQG30U,3FQG30U,4FQG30U,5FQG30U; ,FMGL#30,FMGL130,FMGL230,FMGL330,FMGL430,FMGL530; ,FPGL#30,FPGL130,FPGL230, FPGL330,FPGL430,FPGL530",Standard Vat,Floor,Gas,13,14,31,56,4709,,12/01/2010,08/02/2011,"United States, Canada","ES_1016647_FPGL, FMGL, BIGL, FPGLA, FMGLA,BIGLA followed by: X,XX,XX,X,XX,X,X_08072012151729_7463495"
2280472,"Frymaster,(A division of Welbilt)",Frymaster,FPEL#17,FPEL#17,",#FQE30U,2FQE30U, 3FQE30U, 4FQE30U, 5FQE30U; ,FMEL#17,FMEL117, FMEL217, FMEL317, FMEL417, FMEL517; ,FPEL#17,FPEL117, FPEL217, FPEL317, FPEL417, FPEL517",Standard Vat,Floor,Electric,13,16,33,91,,792,12/01/2010,07/19/2011,"United States, Canada",ES_1016647_X or XX_08072012143614_127832
2280473,"Frymaster,(A division of Welbilt)",Frymaster,HD#50G,HD#50G,",CFHD#50G,CFHD150G; ,HD#50G,HD150G, HD250G, HD350G, HD450G, HD550G, HD650G; ,SCFHD#50G,SCFHD250G, SCFHD350G, SCFHD450G, SCFHD550G, SCFHD650G; ,YCFH#50G,YCFH114G; ,YSCFH#50G,YSCFH214G, YSCFH314, YSCFH414",Standard Vat,Floor,Gas,14,14,50,51,7124,,12/01/2010,08/02/2011,"United States, Canada","ES_1016647_HD, FHD, CFHD, YCFH,SCFHD, YSCFH followed by: X,XX or XXX,X,X,X,X,XX,XX_01102014125053_6823388"
2280474,"Frymaster,(A division of Welbilt)",Frymaster,RE14,RE#14,"RE14,FMRE#14,14KW; RE14,FPRE#14,14KW; RE14,RE#14,14KW",Standard Vat,Floor,Electric,14,14,50,81,,931,12/01/2010,06/29/2011,"United States, Canada","ES_1016647_RE, FRE,FPRE, FMRE,MRE,BIRE,YFPRE followed by:X,XX,TC,XX,{X or XX}, XX,X,X_01102014132056_3739282"
2280475,"Frymaster,(A division of Welbilt)",Frymaster,RE#14TC,RE#14TC,",FMRE#14TC,FMRE114TC, FMRE214TC, FMRE314TC, FMRE414TC, FMRE514TC, FMRE614TC; ,FPRE#14TC,FPRE114TC, FPRE214TC, FPRE314TC, FPRE414TC, FPRE514TC, FPRE614TC; ,RE#14TC,RE114TC, RE214TC, RE314TC, RE414TC, RE514TC, RE614TC",Standard Vat,Floor,Electric,14,17,50,83,,783,12/01/2010,07/29/2011,"United States, Canada",ES_1016647_RE*1400341_08072012150951_4662134
2280531,"Frymaster,(A division of Welbilt)",Frymaster,RE#17TC,RE#17TC,",FMRE#17TC,FMRE117TC, FMRE217TC, FMRE317TC, FMRE417TC, FMRE517TC, FMRE617TC; ,FPRE#17TC,FPRE117TC, FPRE217TC, FPRE317TC, FPRE417TC, FPRE517TC, FPRE617TC; ,RE#17TC,RE117TC, RE217TC, RE317TC, RE417TC, RE517TC, RE617TC",Standard Vat,Floor,Electric,14,17,50,86,,591,12/01/2010,07/29/2011,"United States, Canada",ES_1016647_X or XX_08072012155052_6704370
2280533,"Frymaster,(A division of Welbilt)",Frymaster,PH#55,PH#55,",BIPH#55,BIPH155, BIPH255, BIPH355, BIPH455, BIPH555, BIPH655; ,FMPH#55,FMPH155, FMPH255, FMPH355, FMPH455, FMPH555, FMPH655; ,FPH#55,FPH155; ,FPPH#55,FPPH255, FPPH355, FPPH455, FPPH555, FPPH655; ,MPH#55,; ,PH#55,PH155, PH255, PH355, PH455, PH555, PH655",Standard Vat,Floor,Gas,14,15,50,54,4429,,11/01/2010,07/29/2011,"United States, Canada","ES_1016647_PH, PFH, FPH, FPPH, FMPH, MPH, BIPH  followed by: X,XX,XX,X,XX,X_08072012153611_8419916"
2280535,"Frymaster,(A division of Welbilt)",Frymaster,#1814G,#1814G,",#1814G,11814G, 21814G, 31814G, 41814G; ,#1814GF,11814GF, 21814GF, 31814GF, 41814GF",Large Vat,Floor,Gas,18,14,63,56,9573,,02/01/2012,11/18/2011,"United States, Canada","ES_1016647_X1814G followed by: X,X,X,X,X,X,XX_08232013094752_306360"
2280536,"Frymaster,(A division of Welbilt)",Frymaster,ESG35T,ESG35T,,Standard Vat,Floor,Gas,16,34,37,52,6143,,01/01/2014,10/29/2013,"United States, Canada",ES_1016647_ESG35T_10252013081228_6131097
2280692,"Frymaster,(A division of Welbilt)",Frymaster,FPEL#14-#,FPEL#14-#,",#FQE30U,4KW; 35lb, 2FQE30U, 3FQE30U, 4FQE30U, 5FQE30U; ,FMEL#14-#,14KW; 35lb, FMEL114-2, FMEL214-2, FMEL214-4, FMEL314-2, FMEL314-4, FMEL314-6, FMEL414-2,  FMEL414-4, FMEL414-6, FMEL414-8, FMEL514-2, FMEL514-4, FMEL514-6, FMEL514-8, FMEL514-10; ,FPEL#14-#,14KW; 35lb, FPEL114-2, FPEL214-2, FPEL214-4, FPEL314-2, FPEL314-4, FPEL314-6, FPEL414-2, FPEL414-4, FPEL414-6, FPEL414-8, FPEL514-2, FPEL514-4, FPEL514-6, FPEL514-8, FPEL514-10",Split Vat,Floor,Electric,13,16,35,87,,640,09/29/2016,10/05/2016,"United States, Canada",ES_1016647_FPEL214-2RCA_09292016113427_3983575
2280695,"Frymaster,(A division of Welbilt)",Frymaster,FPEL#14,FPEL#14,",#FQE30U,14kW; 2FQE30U, 3FQE30U, 4FQE30U, 5FQE30U; ,FMEL#14,14kW; FMEL114, FMEL214, FMEL314, FMEL414, FMEL514; ,FPEL#14,14kW; FPEL114, FPEL214, FPEL314, FPEL414, FPEL514",Standard Vat,Floor,Electric,13,16,35,87,,620,09/29/2016,09/29/2016,"United States, Canada",ES_1016647_FPEL214-2RCA_09292016113427_3083472
2280823,"Frymaster,(A division of Welbilt)",Frymaster,BIEL#14,BIEL#14,",BIEL#14,14kW, 30 lb, BIEL114, BIEL214, BIEL314, BIEL414, BIEL514; ,BIELA#14,14kW, 30 lb, BIELA114, BIELA214, BIELA314, BIELA414, BIELA514",Standard Vat,Floor,Electric,13,17,30,89,,510,09/29/2016,09/29/2016,"United States, Canada",ES_1016647_BIELA214-2RCSD_09292016113427_3983575
2280977,RESFAB Equipment Inc,RESFAB,CR-40F,CR-40F,,Standard Vat,Floor,Electric,18,32,40,92,,519,04/01/2005,06/09/2011,"United States, Canada",ES_CR-40F_Yes_10102016140410_1000358
2280978,RESFAB Equipment Inc,RESFAB,CR-40FV,CR-40FV,,Standard Vat,Floor,Electric,18,32,40,92,,519,04/01/2005,06/09/2011,"United States, Canada",ES_CR-40FV_Yes_10102016140410_1000359
2280979,RESFAB Equipment Inc,RESFAB,CR-40AT,CR-40AT,,Standard Vat,Floor,Electric,18,32,40,93,,419,04/01/2005,06/09/2011,"United States, Canada",ES_CR-40AT_Yes_10102016140410_1000360
2280980,RESFAB Equipment Inc,RESFAB,CR-40ATA,CR-40ATA,,Standard Vat,Floor,Electric,18,32,40,93,,419,04/01/2005,06/09/2011,"United States, Canada",ES_CR-40ATA_Yes_10102016140410_1000361
2280981,RESFAB Equipment Inc,RESFAB,CR-40ATV,CR-40ATV,,Standard Vat,Floor,Electric,18,32,40,93,,419,04/01/2005,06/09/2011,"United States, Canada",ES_CR-40ATV_Yes_10102016140410_1000362
2280982,RESFAB Equipment Inc,RESFAB,CR-40ATAV,CR-40ATAV,,Standard Vat,Floor,Electric,18,32,40,93,,419,04/01/2005,06/09/2011,"United States, Canada",ES_CR-40ATAV_Yes_10102016140410_1000363
2280983,RESFAB Equipment Inc,RESFAB,CR-60F,CR-60F,"CR-60FV,CR-60FV,",Standard Vat,Floor,Electric,22,34,60,83,,504,04/01/2005,06/09/2011,"United States, Canada",ES_CR-60F_Yes_10102016140410_1000364
2280985,RESFAB Equipment Inc,RESFAB,CR-60AT,CR-60AT,,Standard Vat,Floor,Electric,22,34,60,87,,469,04/01/2005,06/09/2011,"United States, Canada",ES_CR-60AT_Yes_10102016140410_1000366
2280986,RESFAB Equipment Inc,RESFAB,CR-60ATA,CR-60ATA,,Standard Vat,Floor,Electric,22,34,60,87,,469,04/01/2005,06/09/2011,"United States, Canada",ES_CR-60ATA_Yes_10102016140410_1000367
2280987,RESFAB Equipment Inc,RESFAB,CR-60ATV,CR-60ATV,,Standard Vat,Floor,Electric,22,34,60,87,,469,01/01/2014,10/17/2014,"United States, Canada",ES_CR-60ATV_Yes_10102016140410_1000368
2280988,RESFAB Equipment Inc,RESFAB,CR-60ATAV,CR-60ATAV,,Standard Vat,Floor,Electric,22,34,60,87,,469,01/01/2014,10/17/2014,"United States, Canada",ES_CR-60ATAV_Yes_10102016140410_1000369
2280989,RESFAB Equipment Inc,RESFAB,MB-50F,MB-50F,,Standard Vat,Floor,Electric,16,17,55,88,,676,01/15/2013,02/18/2013,"United States, Canada",ES_MB-50F_Yes_10102016140410_1000370
2280990,RESFAB Equipment Inc,RESFAB,MB-50FV,MB-50FV,,Standard Vat,Floor,Electric,16,17,55,88,,676,01/15/2013,02/18/2013,"United States, Canada",ES_MB-50FV_Yes_10102016140410_1000371
2280991,RESFAB Equipment Inc,RESFAB,MB-50AT,MB-50AT,,Standard Vat,Floor,Electric,16,17,55,88,,676,01/15/2013,02/18/2013,"United States, Canada",ES_MB-50AT_Yes_10102016140410_1000372
2280992,RESFAB Equipment Inc,RESFAB,MB-50-ATV,MB-50-ATV,,Standard Vat,Floor,Electric,16,17,55,88,,676,01/15/2013,02/18/2013,"United States, Canada",ES_MB-50-ATV_Yes_10102016140410_1000374
2280993,RESFAB Equipment Inc,RESFAB,MB-502AT,MB-502AT,,Standard Vat,Floor,Electric,16,17,55,88,,676,01/15/2013,10/30/2014,"United States, Canada",ES_MB-502AT_Yes_10102016140410_1000375
2280994,RESFAB Equipment Inc,RESFAB,MB-85ATV,MB-85ATV,"MB-85AT,MB-85AT,",Large Vat,Floor,Electric,22,35,85,88,,1006,01/01/2014,08/09/2019,"United States, Canada",ES_MB-85ATV_Yes_10102016140410_1000376
2280997,RESFAB Equipment Inc,RESFAB,MB-85F,MB-85F,"MB-85B,,; MB-85B,,; MB-85FV,,; MB-85FV,,",Large Vat,Floor,Electric,22,35,85,93,,921,01/01/2014,05/10/2019,"United States, Canada",ES_MB-85F _Yes_10102016140410_1000379
2280998,Vulcan (A division of ITW Food Equipment Group),Vulcan,Power Fry,VK45,,Standard Vat,Floor,Gas,14,14,45,74,4320,,08/01/2011,09/21/2011,"United States, Canada",ES_Power Fry_Yes_10102016140410_1000380
2280999,Vulcan (A division of ITW Food Equipment Group),Vulcan,Power Fry,VK65,,Large Vat,Floor,Gas,20,14,65,68,4802,,08/17/2011,09/26/2011,"United States, Canada",ES_Power Fry_Yes_10102016140410_1000381
2281000,Vulcan (A division of ITW Food Equipment Group),Vulcan,Power Fry,VK85,,Large Vat,Floor,Gas,20,20,85,63,5464,,08/17/2011,09/26/2011,"United States, Canada",ES_Power Fry_Yes_10102016140410_1000382
2281001,Vulcan (A division of ITW Food Equipment Group),Vulcan,TR45A,TR45A,"TR45C,TR45C,; TR45D,TR45D,; VFRY18,VFRY18,",Standard Vat,Floor,Gas,14,14,45,63,4610,,02/20/2013,08/21/2019,"United States, Canada",ES_TR45A_Yes_10102016140410_1000383
2281004,Vulcan (A division of ITW Food Equipment Group),Vulcan,TR65A,TR65A,,Large Vat,Floor,Gas,20,14,65,60,5083,,02/20/2013,03/11/2013,"United States, Canada",ES_TR65A_Yes_10102016140410_1000386
2281005,Vulcan (A division of ITW Food Equipment Group),Vulcan,TR65D,TR65D,,Large Vat,Floor,Gas,20,14,65,60,5083,,02/20/2013,03/11/2013,"United States, Canada",ES_TR65D_Yes_10102016140410_1000387
2281006,Vulcan (A division of ITW Food Equipment Group),Vulcan,TR65C,TR65C,,Large Vat,Floor,Gas,20,14,65,60,5083,,02/20/2013,03/11/2013,"United States, Canada",ES_TR65C_Yes_10102016140410_1000388
2281007,Vulcan (A division of ITW Food Equipment Group),Vulcan,TR85A,TR85A,,Large Vat,Floor,Gas,20,18,85,60,5575,,02/20/2013,03/11/2013,"United States, Canada",ES_TR85A_Yes_10102016140410_1000389
2281008,Vulcan (A division of ITW Food Equipment Group),Vulcan,TR85D,TR85D,,Large Vat,Floor,Gas,20,18,85,60,5575,,02/20/2013,03/11/2013,"United States, Canada",ES_TR85D_Yes_10102016140410_1000390
2281009,Vulcan (A division of ITW Food Equipment Group),Vulcan,TR85C,TR85C,,Large Vat,Floor,Gas,20,18,85,60,5575,,02/20/2013,03/11/2013,"United States, Canada",ES_TR85C_Yes_10102016140410_1000391
2281537,Henny Penny Corporation,Henny Penny,CFE-415,CFE-415,,Standard Vat,Floor,Electric,12,13,48,84,,800,04/01/2016,04/22/2016,"United States, Canada",ES_1021426_CFE-415_10142016182419_9459836
2281798,Henny Penny Corporation,Henny Penny,CFE-4#0,CFE-4#0,,Standard Vat,Floor,Electric,14,11,65,85,,782,09/04/2012,10/19/2016,"United States, Canada",ES_102146_CFE-4#0_10192016202248_8568647
2281799,Henny Penny Corporation,Henny Penny,EEE-15#,EEE-15#,,Standard Vat,Floor,Electric,12,6,30,83,,791,10/10/2011,10/19/2016,"United States, Canada",ES_1021426_EEE-15#_10192016204139_9699483
2281810,Henny Penny Corporation,Henny Penny,EEG-16#,EEG-16#,,Standard Vat,Floor,Gas,12,9,30,69,4960,,06/19/2013,10/19/2016,"United States, Canada",ES_1021426_EEG-16#_10192016211033_1433741
2281811,Henny Penny Corporation,Henny Penny,EEG-24#,EEG-24#,,Standard Vat,Floor,Gas,12,9,30,69,4960,,04/01/2014,10/19/2016,"United States, Canada",ES_1021426_EEG-24#_10192016211116_1476224
2281812,Henny Penny Corporation,Henny Penny,EEG-25#,EEG-25#,,Standard Vat,Floor,Gas,12,9,30,69,4960,,04/01/2014,10/19/2016,"United States, Canada",ES_1021426_EEG-25#_10192016211147_1507958
2281813,Henny Penny Corporation,Henny Penny,LVG-20# Split,LVG-20# Split,,Split Vat,Floor,Gas,13,9,30,52,6269,,06/07/2012,10/19/2016,"United States, Canada",ES_1021426_LVG-20# Split_10192016211223_1543455
2281814,Henny Penny Corporation,Henny Penny,LVG-20#,LVG-20#,,Standard Vat,Floor,Gas,12,9,30,69,4960,,06/07/2012,10/19/2016,"United States, Canada",ES_1021426_LVG-20#_10192016211251_1571271
2281822,Henny Penny Corporation,Henny Penny,OFE-32# Split,OFE-32# Split,,Standard Vat,Floor,Electric,16,11,50,84,,706,10/05/2016,10/19/2016,"United States, Canada",ES_1021426_OFE-32# Split_10192016211828_1908984
2281823,Henny Penny Corporation,Henny Penny,OFE-32#,OFE-32#,,Standard Vat,Floor,Electric,14,11,62,85,,709,10/05/2016,10/19/2016,"United States, Canada",ES_1021426_OFE-32#_10192016213408_2848407
2281826,Henny Penny Corporation,Henny Penny,OFG-32#,OFG-32#,,Standard Vat,Floor,Gas,13,14,62,52,7259,,08/05/2011,10/19/2016,"United States, Canada",ES_1021426_OFG-32#_10192016214055_3255556
2281827,Henny Penny Corporation,Henny Penny,OGA-32#,OGA-32#,,Standard Vat,Floor,Gas,13,14,62,52,7259,,08/05/2011,10/19/2016,"United States, Canada",ES_1021426_OGA-32#_10192016214538_3538433
2281933,Pitco Frialator,Pitco,SFSOH55,SFSOH55,,Standard Vat,Floor,Gas,14,14,50,50,7936,,01/01/2014,10/20/2016,"United States, Canada",ES_1017239_SFSOH55_06042014154258_6578928
2281934,Pitco Frialator,Pitco,SOH55,SOH55,,Standard Vat,Floor,Gas,14,14,50,50,7936,,01/01/2014,10/20/2016,"United States, Canada",ES_1017239_SOH55_06042014154201_6521511
2281935,Pitco Frialator,Pitco,SOHF55,SOHF55,,Standard Vat,Floor,Gas,14,14,50,50,7936,,01/01/2014,10/20/2016,"United States, Canada",ES_1017239_SOHF55_06042014154235_6555338
2281936,Pitco Frialator,Anetsberger LLC,AEH184,AEH184,,Large Vat,Floor,Electric,18,24,70,82,,1019,05/17/2014,10/20/2016,"United States, Canada",ES_1017239_AEH184_10202016182828_8108374
2281937,Pitco Frialator,Pitco,SOE184,SOE184,,Large Vat,Floor,Electric,18,24,70,82,,1019,05/17/2014,10/20/2016,"United States, Canada",ES_1017239_SOE184_04292015165525_6525334
