Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
05/02/2020,794,44,39,142,159,153,132,92,52,24,1,382,396,16,240,17,97,62,28,350,0,0,0,1,8,12,10,13,0,16,28,0,10,2,19,10,1,2
05/07/2020,954,33,54,175,169,215,173,98,41,27,2,431,462,61,329,5,79,74,31,436,0,0,0,1,5,13,5,9,0,11,21,1,10,1,12,8,1,1
04/20/2020,609,34,12,101,98,119,103,83,47,45,1,283,321,5,201,16,163,86,20,123,0,0,1,1,3,4,9,16,0,11,23,0,10,2,11,9,1,1
03/31/2020,378,16,5,44,74,65,74,55,37,24,0,180,195,3,65,11,176,75,9,42,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0
01/23/2020,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/17/2020,52,1,1,8,8,14,9,7,2,3,0,19,32,1,7,5,15,23,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
04/30/2020,1294,31,71,239,251,263,197,133,70,68,2,591,666,37,445,12,157,111,79,490,0,0,2,0,3,5,10,11,0,14,17,0,10,0,15,6,0,0
03/09/2020,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/2020,758,26,6,103,111,141,156,123,69,49,0,348,369,41,169,17,282,110,25,155,0,0,0,0,3,7,5,11,0,13,13,0,5,1,15,5,0,0
03/13/2020,11,0,2,2,2,2,2,1,0,0,0,6,5,0,3,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/10/2020,755,30,11,99,137,152,159,104,50,43,0,347,391,17,208,21,214,89,22,201,0,0,1,2,3,3,9,12,0,10,20,0,3,2,22,3,0,0
04/17/2020,685,36,5,131,105,135,117,98,50,44,0,311,367,7,238,22,185,76,16,148,0,0,0,2,3,5,13,13,0,11,25,0,10,2,12,10,0,2
04/28/2020,843,44,31,176,140,151,143,95,53,52,2,420,403,20,296,16,135,89,51,256,0,0,0,3,4,9,8,20,0,16,28,0,9,5,17,10,0,3
04/29/2020,1046,39,43,187,193,207,195,125,40,56,0,510,496,40,447,15,139,84,43,318,0,1,1,3,4,5,8,17,0,17,22,0,15,2,13,9,0,0
03/06/2020,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/24/2020,218,2,2,28,40,37,45,33,20,13,0,102,116,0,21,12,97,72,8,8,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0
03/19/2020,123,2,3,21,29,18,22,21,7,2,0,57,66,0,11,4,58,46,1,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
03/18/2020,95,1,0,18,25,23,7,15,3,4,0,46,49,0,10,2,45,32,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
04/11/2020,708,33,23,94,115,129,160,101,53,32,1,300,403,5,165,33,235,99,20,156,0,0,1,1,6,8,10,7,0,16,17,0,8,1,21,3,0,0
03/08/2020,3,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/21/2020,111,2,1,16,15,25,21,15,14,4,0,49,62,0,11,5,59,28,2,6,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0
03/10/2020,4,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2020,822,44,38,153,149,144,135,97,51,54,1,412,392,18,264,9,115,76,28,330,0,1,0,0,4,8,14,17,0,22,22,0,14,2,16,11,0,1
04/27/2020,783,31,28,140,123,158,117,104,46,66,1,370,350,63,219,13,131,66,24,330,0,0,0,2,4,4,12,9,0,11,20,0,8,0,14,6,0,3
04/05/2020,388,26,2,43,59,70,79,63,41,31,0,175,207,6,104,14,155,47,13,55,0,0,0,2,5,2,10,7,0,8,18,0,4,0,18,4,0,0
