Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2
US RESIDENTS,2019,1,12,,139,,12,,14,,,-,1,,,-,,-,,
NEW ENGLAND,2019,1,1,,13,,1,,1,,,-,0,,,-,,-,,
MIDDDLE ATLANTIC,2019,1,3,,29,,3,,4,,,-,0,,,-,,-,,
NEW YORK CITY,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,
EAST NORTH CENTRAL,2019,1,,-,24,,,-,,-,,-,0,,,-,,-,,
WEST NORTH CENTRAL,2019,1,1,,5,,1,,,-,,-,0,,,-,,-,,
SOUTH ATLANTIC,2019,1,6,,122,,6,,6,,,-,1,,,-,,-,,
EAST SOUTH CENTRAL,2019,1,,-,8,,,-,,-,,-,0,,,-,,-,,
WEST SOUTH CENTRAL,2019,1,1,,15,,1,,2,,,-,0,,,-,,-,,
MOUNTAIN,2019,1,,-,4,,,-,,-,,-,1,,,-,,-,,
PACIFIC,2019,1,,-,12,,,-,1,,,-,0,,,-,,-,,
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,
AMERICAN SAMOA,2019,1,,U,,NC,,U,,U,,-,0,,,-,,-,,
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
TOTAL,2019,1,12,,139,,12,,14,,,-,1,,,-,,-,,
NEVADA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TEXAS,2019,1,,-,15,,,-,2,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
IDAHO,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
SOUTH CAROLINA,2019,1,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WEST VIRGINIA,2019,1,,-,10,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WISCONSIN,2019,1,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
LOUISIANA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
RHODE ISLAND,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH CAROLINA,2019,1,4,,17,,4,,3,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW JERSEY,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSOURI,2019,1,,-,4,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
VIRGINIA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW MEXICO,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MASSACHUSETTS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2019,1,1,,8,,1,,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2019,1,2,,117,,2,,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
COLORADO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
WASHINGTON,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
TENNESSEE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
IOWA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WYOMING,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MARYLAND,2019,1,,-,11,,,-,3,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
KANSAS,2019,1,1,,3,,1,,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
DISTRICT OF COLUMBIA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
HAWAII,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
CALIFORNIA,2019,1,,-,9,,,-,1,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
CONNECTICUT,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MAINE,2019,1,,-,5,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK,2019,1,3,,29,,3,,4,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2019,1,,-,5,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ILLINOIS,2019,1,,-,13,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OREGON,2019,1,,-,6,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
INDIANA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ARIZONA,2019,1,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
PENNSYLVANIA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2019,1,,-,4,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MICHIGAN,2019,1,,-,7,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW HAMPSHIRE,2019,1,1,,3,,1,,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARKANSAS,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
UTAH,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
KENTUCKY,2019,1,,-,8,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
OHIO,2019,1,,-,6,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MONTANA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
UTAH,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
VERMONT,2019,2,,-,5,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MICHIGAN,2019,2,,-,7,,,-,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW ENGLAND,2019,2,3,,13,,4,,7,,,-,0,,,-,,-,,
EAST SOUTH CENTRAL,2019,2,2,,8,,2,,,-,,-,0,,,-,,-,,
VIRGINIA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2019,2,,-,13,,1,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2019,2,2,,17,,6,,5,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CALIFORNIA,2019,2,,-,9,,,-,2,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
PENNSYLVANIA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2019,2,,-,4,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
TENNESSEE,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2019,2,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WASHINGTON,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KENTUCKY,2019,2,,-,8,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
EAST NORTH CENTRAL,2019,2,,-,24,,1,,2,,,-,0,,,-,,-,,
GEORGIA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
SOUTH ATLANTIC,2019,2,6,,122,,10,,128,,,-,1,,,-,,-,,
OKLAHOMA,2019,2,,-,8,,1,,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH CAROLINA,2019,2,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
